letter,count
A,6719
E,6035
O,4934
N,3798
S,3311
R,3262
L,2983
I,2832
D,2431
U,2020
C,1825
M,1815
T,1801
P,1081
Y,748
G,679
V,659
B,651
H,559
F,434
Z,395
Q,309
J,249
X,24
W,4
