letter,count
E,887
T,604
O,494
A,483
I,447
H,420
R,364
S,363
N,342
L,302
D,233
U,232
M,197
Y,153
W,151
C,118
B,116
F,112
G,104
P,90
K,38
V,26
Z,4
Q,3
X,1
