letter,count
A,647
E,620
O,462
N,375
S,352
R,334
L,285
D,277
I,260
U,200
M,199
C,196
T,153
P,101
Y,83
V,70
B,65
G,65
H,62
F,40
Q,39
Z,37
J,30
