letter,count
E,13758
T,9220
O,7788
A,6987
I,6890
H,6703
N,6105
S,6067
R,5945
L,4606
U,4046
D,3646
M,3141
W,2502
Y,2335
C,1937
G,1802
F,1765
B,1659
P,1442
K,851
V,383
X,92
Q,68
Z,45
