letter,count
A,65790
E,59586
O,49745
N,37902
R,32747
S,32698
L,29446
I,28835
D,23796
U,19369
C,18548
M,17970
T,17796
P,11147
Y,7556
G,6638
V,6417
B,6414
H,5467
F,4514
Z,3708
Q,3278
J,2681
X,268
W,40
