letter,count
A,20914
E,17452
O,13741
S,10754
R,10743
I,10666
N,8069
T,7567
C,7059
M,6403
D,6257
L,5969
U,4768
P,3887
V,3224
H,2763
G,2091
B,1650
F,1582
Z,715
Q,700
J,463
X,457
Y,283
W,30
