letter,count
A,10568
E,9561
O,7937
N,6041
R,5250
S,5242
L,4688
I,4602
D,3823
U,3126
C,2967
M,2923
T,2858
P,1786
Y,1201
G,1083
B,1038
V,1017
H,861
F,713
Z,577
Q,522
J,433
X,42
W,7
