letter,count
A,1979
E,1731
O,1432
R,1087
I,1065
S,1047
N,793
T,707
C,698
D,671
M,636
L,583
U,496
P,415
V,295
H,258
G,201
B,165
F,143
Z,75
Q,56
X,43
J,43
Y,25
K,3
