letter,count
E,8627
T,5733
O,4780
A,4350
I,4290
H,4211
N,3892
S,3724
R,3688
L,2954
U,2457
D,2218
M,1870
W,1559
Y,1456
C,1211
G,1130
F,1071
B,1018
P,954
K,522
V,252
X,51
Q,46
Z,27
