letter,count
A,33350
E,27876
O,21918
R,17390
S,17091
I,16780
N,12975
T,11976
C,11032
M,10483
D,9948
L,9804
U,7677
P,6200
V,5104
H,4396
G,3213
B,2651
F,2499
Z,1154
Q,1113
J,717
X,706
Y,481
W,45
