letter,count
E,85440
T,57564
O,48660
A,43576
I,43107
H,41725
N,38242
S,37595
R,37128
L,28802
U,25246
D,22681
M,19630
W,15587
Y,14548
C,12058
G,11168
F,11013
B,10354
P,9009
K,5284
V,2363
X,586
Q,405
Z,285
