letter,count
A,2067
E,1824
O,1359
S,1072
R,1048
I,1040
N,832
T,744
C,721
M,663
D,641
L,602
U,475
P,401
V,324
H,275
G,185
F,168
B,165
Z,66
Q,58
X,56
J,49
Y,26
W,1
