letter,count
A,620
E,556
O,497
N,378
S,322
R,315
L,293
I,275
D,233
U,204
C,190
M,183
T,168
P,108
Y,84
G,68
V,67
B,63
H,60
F,34
Z,34
J,27
Q,18
X,4
