Book,Counter,Precision,Max Abs Error,Min Abs Error,Avg Abs Error,Max Rel Error,Min Rel Error,Avg Rel Error
La venganza de Don Mendo,Approx 1,0.72,9948,7,2962.6,1.0,0.9047619047619048,0.9407259682931653
La venganza de Don Mendo,Approx 10,0.84,9897,7,2956.88,0.9428571428571428,0.9315424610051993,0.9377892741765649
La venganza de Don Mendo,Approx 100,0.92,9911,7,2958.24,0.9428571428571428,0.9357365684575389,0.9376431068008573
O Mysterio da Estrada de Cintra,Approx 1,0.76,31283,44,8868.68,0.9777777777777777,0.9218967921896792,0.9388921239328123
O Mysterio da Estrada de Cintra,Approx 10,0.92,31259,42,8870.76,0.9411642411642411,0.9333333333333333,0.9371361698068954
O Mysterio da Estrada de Cintra,Approx 100,0.92,31268,43,8871.96,0.9411111111111111,0.9360658578856152,0.9375333437173557
The Tragedy of Romeo and Juliet,Approx 1,0.6,12895,42,3744.64,0.9420899854862119,0.9021739130434783,0.9357726155739745
The Tragedy of Romeo and Juliet,Approx 10,1.0,12896,43,3743.32,0.9445652173913044,0.9323529411764706,0.9378273930686231
The Tragedy of Romeo and Juliet,Approx 100,1.0,12904,43,3743.0,0.9404411764705882,0.936304347826087,0.9377048963889955
