letter,count
E,863
T,579
O,453
A,435
I,399
N,395
R,386
H,383
S,371
L,292
U,251
D,215
M,192
Y,153
W,145
C,125
F,117
G,116
B,106
P,95
K,50
V,30
X,9
Z,4
Q,3
