num_vertices,edge_ratio,elapsed_time,weight,n_sol,n_oper,n_iter
29,0.75,2.013849000009941,9215,12015,9,12015
30,0.125,2.011234699981287,2156,10701,11,10701
30,0.25,2.010849199985387,3590,21663,13,21663
30,0.5,2.0169091999996454,6913,11628,9,11628
30,0.75,2.0143776000186335,9483,3382,10,3382
31,0.125,2.0151610000175424,2368,32186,12,32186
31,0.25,2.023570999997901,3692,8049,9,8049
31,0.5,2.007416100008413,7357,13689,15,13689
31,0.75,2.0143592999957036,10101,6568,7,6568
32,0.125,2.014785999985179,2446,11391,10,11391
32,0.25,2.0121666000050027,4495,22076,12,22076
32,0.5,2.008348199975444,7995,4305,10,4305
32,0.75,2.0103486999869347,10969,9865,14,9865
33,0.125,2.0292074999888428,2447,20791,10,20791
33,0.25,2.0089161999931093,4013,7122,9,7122
33,0.5,2.006825399992522,8785,12209,11,12209
33,0.75,2.0084578999958467,11320,1820,7,1820
34,0.125,2.0128365000127815,2966,20764,12,20764
34,0.25,2.010952199983876,4721,18825,6,18825
34,0.5,2.006012900004862,9709,4908,9,4908
34,0.75,2.0077654999913648,12155,6575,14,6575
35,0.125,2.0151992999890354,2934,24610,12,24610
35,0.25,2.00831260002451,5118,14154,15,14155
35,0.5,2.0137825999991037,9282,4688,10,4688
35,0.75,2.00467789999675,13285,2072,10,2072
36,0.125,2.017013800010318,3093,12800,11,12800
36,0.25,2.020425399998203,4287,5939,13,5939
36,0.5,2.022115699975984,10076,4930,8,4930
36,0.75,2.009175899991533,13500,3619,16,3619
37,0.125,2.0255839999881573,3164,13172,8,13172
37,0.25,2.0578185000049416,5772,7164,11,7164
37,0.5,2.013533899997128,10702,2771,7,2771
37,0.75,2.0117184000264388,14586,2431,9,2431
38,0.125,2.05495879999944,3843,17236,13,17236
38,0.25,2.005377099994803,5961,4339,11,4339
38,0.5,2.0062806999776512,11630,2667,13,2667
38,0.75,2.007707000011578,15393,6365,9,6365
39,0.125,2.011641899996903,3662,17305,13,17305
39,0.25,2.00793920000433,6432,9684,9,9684
39,0.5,2.014180899976054,11974,5145,12,5145
39,0.75,2.0064502999885008,16121,2998,7,2998
40,0.125,2.0397314000001643,3682,7039,6,7039
40,0.25,2.025067000009585,6378,9103,8,9103
40,0.5,2.0057228000077885,12095,8122,5,8122
40,0.75,2.004584899987094,16394,2302,9,2302
41,0.125,2.0075200000137556,3944,14751,14,14751
41,0.25,2.035819700016873,6748,7774,11,7774
41,0.5,2.0051167999918107,12686,5744,10,5744
41,0.75,2.0099592999904417,17421,1487,10,1487
42,0.125,2.0100757000036538,4466,15941,7,15941
42,0.25,2.0184653000032995,7003,11928,10,11928
42,0.5,2.005536300013773,13020,2325,9,2325
42,0.75,2.0046174000017345,17659,6378,9,6378
43,0.125,2.014451499999268,4587,7721,9,7721
43,0.25,2.008414400013862,8111,11163,12,11163
43,0.5,2.01381369997398,13043,6960,6,6960
43,0.75,2.018776200013235,18364,2140,7,2140
44,0.125,2.013525500020478,4261,19613,9,19613
44,0.25,2.015340299985837,7630,5074,10,5074
44,0.5,2.010318399989046,13421,7675,10,7675
44,0.75,2.008913300000131,19899,4157,10,4157
45,0.125,2.015383199992357,3999,7110,9,7110
45,0.25,2.0116119000012986,7728,9558,10,9558
45,0.5,2.0083756999811158,14630,1951,10,1951
45,0.75,2.0061077999998815,20653,5766,14,5766
46,0.125,2.011116099980427,4845,19812,5,19812
46,0.25,2.008891700010281,9417,14553,18,14553
46,0.5,2.006326700007776,15147,7797,11,7797
46,0.75,2.0062180000240915,20763,5766,8,5766
47,0.125,2.011984400014626,4913,20839,12,20839
47,0.25,2.006840599991847,8524,11682,17,11682
47,0.5,2.0060414999898057,15675,6351,7,6351
47,0.75,2.004583400004776,22495,4972,11,4972
48,0.125,2.0131727999832947,4813,19767,12,19767
48,0.25,2.0071306999889202,9426,12499,9,12499
48,0.5,2.0050743999890983,16128,7595,10,7595
48,0.75,2.006199399998877,23538,5169,6,5169
49,0.125,2.0118300000031013,5263,18662,13,18662
49,0.25,2.0074750000203494,8889,12442,11,12442
49,0.5,2.008443700004136,17008,7656,7,7656
49,0.75,2.0083747999742627,25099,5303,7,5303
50,0.125,2.010334300022805,5151,20982,11,20982
50,0.25,2.0068388000072446,9641,13029,6,13029
50,0.5,2.005429999990156,17791,8509,8,8509
50,0.75,2.004797699977644,25075,5992,12,5992
51,0.125,2.014389099989785,5944,17985,6,17985
51,0.25,2.0079120000009425,10179,11728,10,11728
51,0.5,2.0046234000183176,19114,7023,8,7023
51,0.75,2.0055270999728236,26506,5057,11,5057
52,0.125,2.010017599997809,5911,17504,14,17504
52,0.25,2.006544300005771,10643,11281,12,11281
52,0.5,2.0046999999904074,19562,6976,8,6976
52,0.75,2.0053501999937,27538,4930,9,4930
53,0.125,2.0135052999830805,6252,16638,9,16638
53,0.25,2.0064083999895956,11048,9646,13,9646
53,0.5,2.0085083000012673,20361,5567,4,5567
53,0.75,2.0110319000086747,28347,3064,6,3064
54,0.125,2.0061980000173207,5966,10402,13,10402
54,0.25,2.0080031999968924,11264,7142,8,7142
54,0.5,2.005203100008657,20493,4796,7,4796
