num_vertices,edge_ratio,elapsed_time,weight,n_sol,n_oper,n_iter
30,0.25,0.009446000010939315,3590,28,925,28
30,0.5,0.0015888999914750457,6633,28,925,28
30,0.75,0.0061301999958232045,9312,28,925,28
31,0.125,0.0012735000054817647,2489,29,987,29
31,0.25,0.0021868000039830804,4149,29,987,29
31,0.5,0.0044018999906256795,6906,29,987,29
31,0.75,0.002223099989350885,9536,29,987,29
32,0.125,0.002375899988692254,2674,30,1051,30
32,0.25,0.0014318000175990164,4515,30,1051,30
32,0.5,0.0038178999966476113,8289,30,1051,30
32,0.75,0.0044532000028993934,10676,30,1051,30
33,0.125,0.001240300014615059,2527,31,1117,31
33,0.25,0.01912470001843758,4090,31,1117,31
33,0.5,0.002170399995520711,8243,31,1117,31
33,0.75,0.0052998999890405685,11558,31,1117,31
34,0.125,0.0037819999852217734,3024,32,1185,32
34,0.25,0.002419600001303479,4837,32,1185,32
34,0.5,0.0026863999955821782,8615,32,1185,32
34,0.75,0.004804700001841411,12386,32,1185,32
35,0.125,0.0028300000121816993,2991,33,1255,33
35,0.25,0.0035318000009283423,5248,33,1255,33
35,0.5,0.0075403999944683164,8790,33,1255,33
35,0.75,0.004378999990876764,12930,33,1255,33
36,0.125,0.0013923999795224518,3117,34,1327,34
36,0.25,0.0019765000033658,4061,34,1327,34
36,0.5,0.0032393999863415956,10591,34,1327,34
36,0.75,0.006143899983726442,13056,34,1327,34
37,0.125,0.0018912999948952347,3288,35,1401,35
37,0.25,0.004863199981627986,5822,35,1401,35
37,0.5,0.009842900006333366,10231,35,1401,35
37,0.75,0.009440399997401983,14223,35,1401,35
38,0.125,0.0020099999965168536,4302,36,1477,36
38,0.25,0.0038890000141691417,6296,36,1477,36
38,0.5,0.010673799988580868,10688,36,1477,36
38,0.75,0.006430399982491508,14843,36,1477,36
39,0.125,0.0034707000013440847,3433,37,1555,37
39,0.25,0.010456200019689277,6915,37,1555,37
39,0.5,0.0026790999982040375,12256,37,1555,37
39,0.75,0.009078400005819276,15950,37,1555,37
40,0.125,0.004290499986382201,3870,38,1635,38
40,0.25,0.0065577000204939395,6512,38,1635,38
40,0.5,0.002633099997183308,12707,38,1635,38
40,0.75,0.005245000007562339,16701,38,1635,38
41,0.125,0.0017316000012215227,4443,39,1717,39
41,0.25,0.023535999993328005,7225,39,1717,39
41,0.5,0.0037463000044226646,12020,39,1717,39
41,0.75,0.06795130000682548,16883,39,1717,39
42,0.125,0.012653500016313046,4564,40,1801,40
42,0.25,0.0027390999894123524,7124,40,1801,40
42,0.5,0.019273400015663356,12879,40,1801,40
42,0.75,0.003790499991737306,17227,40,1801,40
43,0.125,0.0036459999973885715,5174,41,1887,41
43,0.25,0.008463999984087422,8609,41,1887,41
43,0.5,0.0028083999932277948,12863,41,1887,41
43,0.75,0.015184600022621453,18006,41,1887,41
44,0.125,0.002133100002538413,4824,42,1975,42
44,0.25,0.010036899999249727,8174,42,1975,42
44,0.5,0.02089819998946041,13580,42,1975,42
44,0.75,0.006898799998452887,19764,42,1975,42
45,0.125,0.0031821999873500317,4959,43,2065,43
45,0.25,0.002287500014062971,8464,43,2065,43
45,0.5,0.01188100001309067,14663,43,2065,43
45,0.75,0.010844400007044896,19513,43,2065,43
46,0.125,0.0019583999819587916,5367,44,2157,44
46,0.25,0.002112500020302832,9202,44,2157,44
46,0.5,0.005344199977116659,14643,44,2157,44
46,0.75,0.0050666999886743724,19662,44,2157,44
47,0.125,0.0019326000183355063,5693,45,2251,45
47,0.25,0.002430900000035763,8526,45,2251,45
47,0.5,0.008297599997604266,15530,45,2251,45
47,0.75,0.004773399996338412,21815,45,2251,45
48,0.125,0.002136299997800961,5399,46,2347,46
48,0.25,0.002434699999867007,9583,46,2347,46
48,0.5,0.004102999984752387,16516,46,2347,46
48,0.75,0.006835999985923991,24004,46,2347,46
49,0.125,0.001992500008782372,5864,47,2445,47
49,0.25,0.005610199994407594,9120,47,2445,47
49,0.5,0.005039100011344999,16672,47,2445,47
49,0.75,0.005911399988690391,23944,47,2445,47
50,0.125,0.002008500014198944,6060,48,2545,48
50,0.25,0.0026043999823741615,10136,48,2545,48
50,0.5,0.0035306999925523996,17086,48,2545,48
50,0.75,0.004721000004792586,23886,48,2545,48
51,0.125,0.002275500010000542,6924,49,2647,49
51,0.25,0.0037515000149141997,10768,49,2647,49
51,0.5,0.003953500010538846,18404,49,2647,49
51,0.75,0.006682300008833408,26050,49,2647,49
52,0.125,0.0022852999973110855,6436,50,2751,50
52,0.25,0.0031106999958865345,11073,50,2751,50
52,0.5,0.004593500023474917,18251,50,2751,50
52,0.75,0.006318200001260266,26452,50,2751,50
53,0.125,0.0025268000026699156,6861,51,2857,51
53,0.25,0.003530100017087534,11365,51,2857,51
53,0.5,0.004208999976981431,20635,51,2857,51
53,0.75,0.005568799999309704,28390,51,2857,51
54,0.125,0.0028848999936599284,6379,52,2965,52
54,0.25,0.002889399998821318,11470,52,2965,52
54,0.5,0.007543899992015213,20742,52,2965,52
54,0.75,0.005666799988830462,28053,52,2965,52
55,0.125,0.0024745999835431576,6478,53,3075,53
55,0.25,0.003663000010419637,11980,53,3075,53
55,0.5,0.006599999993341044,21834,53,3075,53
