num_vertices,edge_ratio,elapsed_time,weight,n_sol,n_oper,n_iter
30,0.125,2.0048618000000715,2275,2397,11,2406
30,0.25,2.0024490999931004,3873,3773,12,3781
30,0.5,2.00501439999789,7286,675,7,675
30,0.75,2.0040598000050522,9996,1609,5,1609
31,0.125,2.005950799997663,2480,3591,10,3746
31,0.25,2.002158299990697,4132,1446,4,1446
31,0.5,2.002792600018438,7641,1974,5,1974
31,0.75,2.0053819000022486,10405,470,5,470
32,0.125,2.002805099997204,2624,4397,5,4847
32,0.25,2.005220199993346,4732,2388,9,2389
32,0.5,2.008034400001634,8264,681,6,681
32,0.75,2.0019704999867827,11080,1408,11,1408
33,0.125,2.0069889000151306,2614,1723,7,1752
33,0.25,2.0027174999995623,4496,2980,10,2983
33,0.5,2.005185799993342,8885,1241,8,1241
33,0.75,2.020409499993548,11538,342,9,342
34,0.125,2.0045065000012983,3223,3971,7,4162
34,0.25,2.0039883999852464,5091,1907,7,1910
34,0.5,2.0027061000000685,9683,834,9,834
34,0.75,2.0019621000101324,12188,1164,13,1164
35,0.125,2.0069604000018444,3153,3786,9,3810
35,0.25,2.003875700000208,5513,1914,7,1916
35,0.5,2.0021728000137955,9606,555,8,555
35,0.75,2.005439899978228,13814,569,7,569
36,0.125,2.0027392000192776,3453,1305,9,1309
36,0.25,2.008582699985709,4370,1001,10,1002
36,0.5,2.0057921999832615,10572,865,5,865
36,0.75,2.0062050000124145,13818,426,5,426
37,0.125,2.0091714000154752,3473,1755,7,1755
37,0.25,2.003331399988383,5955,641,11,641
37,0.5,2.0110969999805093,10936,535,2,535
37,0.75,2.005871700006537,15079,412,8,412
38,0.125,2.0023155999951996,4202,1344,4,1345
38,0.25,2.006491999985883,6261,1120,10,1120
38,0.5,2.0060828999849036,11493,492,4,492
38,0.75,2.0046911999816075,15321,521,9,521
39,0.125,2.0063583999872208,3683,2953,8,2954
39,0.25,2.001926099997945,6891,2179,10,2179
39,0.5,2.0108581999957096,12259,485,8,485
39,0.75,2.021096500015119,16455,237,10,237
40,0.125,2.0029602000140585,4028,1218,9,1218
40,0.25,2.0233220000227448,6769,1229,7,1229
40,0.5,2.0082045000162907,12354,703,11,703
40,0.75,2.0046976000012364,16686,726,8,726
41,0.125,2.004390999994939,4285,2121,12,2121
41,0.25,2.0035350999969523,7288,1718,3,1718
41,0.5,2.0099748999928124,12865,893,10,893
41,0.75,2.004619499988621,17983,198,5,198
42,0.125,2.0031481999903917,5140,2905,6,2905
42,0.25,2.0056191999756265,7386,749,7,749
42,0.5,2.004041500011226,13723,850,5,850
42,0.75,2.0090205000014976,17990,681,7,681
43,0.125,2.00370760000078,5215,1166,7,1166
43,0.25,2.002429900021525,8628,1998,7,1998
43,0.5,2.006273799983319,13287,362,5,362
43,0.75,2.032432800013339,18834,771,11,771
44,0.125,2.003445600013947,4897,2608,5,2608
44,0.25,2.056045700010145,7915,732,3,732
44,0.5,2.002893299999414,13903,1119,10,1119
44,0.75,2.0128927000041585,20158,274,6,274
45,0.125,2.005589200009126,4591,2646,11,2646
45,0.25,2.006130399997346,8321,1206,6,1206
45,0.5,2.017098599986639,15747,574,6,574
45,0.75,2.003091399994446,21343,731,7,731
46,0.125,2.002410699991742,5195,3282,7,3282
46,0.25,2.0022147999843583,9703,1752,8,1752
46,0.5,2.0023326000082307,15655,1162,8,1162
46,0.75,2.005856500007212,21426,801,7,801
47,0.125,2.002425000013318,5408,3068,8,3068
