num_vertices,edge_ratio,elapsed_time,weight,n_sol,n_oper
41,0.125,0.002672,3721,41,82
41,0.25,0.002998,6009,41,82
41,0.5,0.009688,11535,41,82
41,0.75,0.009566,16034,41,82
42,0.125,0.002118,4555,42,84
42,0.25,0.006238,6526,42,84
42,0.5,0.008883,12817,42,84
42,0.75,0.01236,16615,42,84
43,0.125,0.004248,4356,43,86
43,0.25,0.004788,8282,43,86
43,0.5,0.008059,13331,43,86
43,0.75,0.009285,17474,43,86
44,0.125,0.003003,4341,44,88
44,0.25,0.006417,7625,44,88
44,0.5,0.008353,12524,44,88
44,0.75,0.013055,19320,44,88
45,0.125,0.003819,3955,45,90
45,0.25,0.005404,7318,45,90
45,0.5,0.0083,14029,45,90
45,0.75,0.011425,19841,45,90
46,0.125,0.002651,4731,46,92
46,0.25,0.005193,8734,46,92
46,0.5,0.007717,15299,46,92
46,0.75,0.010462,20323,46,92
47,0.125,0.002608,4978,47,94
47,0.25,0.004979,8666,47,94
47,0.5,0.008183,14989,47,94
47,0.75,0.013326,22052,47,94
48,0.125,0.00286,4805,48,96
48,0.25,0.004745,9335,48,96
48,0.5,0.010019,15554,48,96
48,0.75,0.011766,23116,48,96
49,0.125,0.004304,4827,49,98
49,0.25,0.005744,8733,49,98
49,0.5,0.008956,16178,49,98
49,0.75,0.0147,24172,49,98
50,0.125,0.003558,5211,50,100
50,0.25,0.005805,9938,50,100
50,0.5,0.009977,17239,50,100
50,0.75,0.013753,24650,50,100
51,0.125,0.004332,5486,51,102
51,0.25,0.008096,10093,51,102
51,0.5,0.011386,19602,51,102
51,0.75,0.0704,25554,51,102
52,0.125,0.00377,5757,52,104
52,0.25,0.007528,10509,52,104
52,0.5,0.013527,18394,52,104
52,0.75,0.016471,27493,52,104
53,0.125,0.004336,6340,53,106
53,0.25,0.007377,10804,53,106
53,0.5,0.011794,20822,53,106
53,0.75,0.014013,28575,53,106
54,0.125,0.004267,5833,54,108
54,0.25,0.006989,11126,54,108
54,0.5,0.012686,19835,54,108
54,0.75,0.015654,28136,54,108
55,0.125,0.004208,6657,55,110
55,0.25,0.007033,12525,55,110
55,0.5,0.013444,21788,55,110
55,0.75,0.020048,31313,55,110
56,0.125,0.004276,7179,56,112
56,0.25,0.006995,12744,56,112
56,0.5,0.013025,21640,56,112
56,0.75,0.016497,31513,56,112
57,0.125,0.006663,7236,57,114
57,0.25,0.008678,13145,57,114
57,0.5,0.013515,21436,57,114
57,0.75,0.021414,31906,57,114
58,0.125,0.004189,7698,58,116
58,0.25,0.008082,12885,58,116
58,0.5,0.017782,22909,58,116
58,0.75,0.020818,34176,58,116
59,0.125,0.005501,7038,59,118
59,0.25,0.023261,13674,59,118
59,0.5,0.01735,23635,59,118
59,0.75,0.020985,33944,59,118
60,0.125,0.005792,8693,60,120
60,0.25,0.009366,13526,60,120
60,0.5,0.019364,24630,60,120
60,0.75,0.024867,34987,60,120
61,0.125,0.005449,7584,61,122
61,0.25,0.008379,13872,61,122
61,0.5,0.01422,24648,61,122
61,0.75,0.022864,37256,61,122
62,0.125,0.00542,8054,62,124
62,0.25,0.010328,14667,62,124
62,0.5,0.017173,27249,62,124
62,0.75,0.023044,36639,62,124
63,0.125,0.007659,8252,63,126
