num_vertices,edge_ratio,elapsed_time,weight,n_sol,n_oper
40,0.5,0.001879,12707,38,1635
40,0.75,0.002299,16926,38,1635
41,0.125,0.001105,4443,39,1717
41,0.25,0.00181,7334,39,1717
41,0.5,0.001917,12020,39,1717
41,0.75,0.003375,16855,39,1717
42,0.125,0.001151,4564,40,1801
42,0.25,0.001347,6988,40,1801
42,0.5,0.002763,12878,40,1801
42,0.75,0.002519,17446,40,1801
43,0.125,0.001639,5293,41,1887
43,0.25,0.001477,8548,41,1887
43,0.5,0.002498,12647,41,1887
43,0.75,0.002765,18178,41,1887
44,0.125,0.00153,4786,42,1975
44,0.25,0.001426,7781,42,1975
44,0.5,0.003249,13580,42,1975
44,0.75,0.003468,19943,42,1975
45,0.125,0.002381,4996,43,2065
45,0.25,0.001911,8464,43,2065
45,0.5,0.002595,14719,43,2065
45,0.75,0.00471,20094,43,2065
46,0.125,0.002109,5352,44,2157
46,0.25,0.002748,9202,44,2157
46,0.5,0.002553,14643,44,2157
46,0.75,0.004117,20083,44,2157
47,0.125,0.001532,5798,45,2251
47,0.25,0.002592,9207,45,2251
47,0.5,0.002825,15530,45,2251
47,0.75,0.003734,21420,45,2251
48,0.125,0.001329,5399,46,2347
48,0.25,0.003701,9829,46,2347
48,0.5,0.003236,15991,46,2347
48,0.75,0.004412,23824,46,2347
49,0.125,0.002831,5864,47,2445
49,0.25,0.0024,8849,47,2445
49,0.5,0.002722,16143,47,2445
49,0.75,0.00602,23284,47,2445
50,0.125,0.0018,5796,48,2545
50,0.25,0.002225,9765,48,2545
50,0.5,0.003007,17086,48,2545
50,0.75,0.004104,24338,48,2545
51,0.125,0.001583,6924,49,2647
51,0.25,0.002038,10971,49,2647
51,0.5,0.004757,18404,49,2647
51,0.75,0.003644,26365,49,2647
52,0.125,0.001894,6626,50,2751
52,0.25,0.002219,10814,50,2751
52,0.5,0.003037,17387,50,2751
52,0.75,0.006697,27205,50,2751
53,0.125,0.001851,6795,51,2857
53,0.25,0.002476,11310,51,2857
53,0.5,0.00641,20062,51,2857
53,0.75,0.005286,28390,51,2857
54,0.125,0.001728,6707,52,2965
54,0.25,0.003115,10899,52,2965
54,0.5,0.003778,20046,52,2965
54,0.75,0.006243,29432,52,2965
55,0.125,0.001699,6478,53,3075
55,0.25,0.002846,11860,53,3075
55,0.5,0.005386,21356,53,3075
55,0.75,0.005443,30866,53,3075
56,0.125,0.002207,7536,54,3187
56,0.25,0.003977,11755,54,3187
56,0.5,0.00354,21628,54,3187
56,0.75,0.006892,29967,54,3187
57,0.125,0.002069,7645,55,3301
57,0.25,0.0026,13929,55,3301
57,0.5,0.005656,22326,55,3301
57,0.75,0.005516,33104,55,3301
58,0.125,0.004069,7819,56,3417
58,0.25,0.00272,13302,56,3417
58,0.5,0.003691,23797,56,3417
58,0.75,0.005366,33282,56,3417
59,0.125,0.002248,7512,57,3535
59,0.25,0.002962,14565,57,3535
59,0.5,0.003717,24447,57,3535
59,0.75,0.004728,33564,57,3535
60,0.125,0.002275,9001,58,3655
60,0.25,0.002712,14757,58,3655
60,0.5,0.003528,24395,58,3655
60,0.75,0.004834,35368,58,3655
61,0.125,0.002227,8524,59,3777
61,0.25,0.003497,15224,59,3777
61,0.5,0.004027,24707,59,3777
61,0.75,0.005471,36550,59,3777
62,0.125,0.002156,8895,60,3901
62,0.25,0.005166,15684,60,3901
62,0.5,0.004166,27980,60,3901
62,0.75,0.005973,37895,60,3901
63,0.125,0.002131,9252,61,4027
63,0.25,0.00322,15106,61,4027
63,0.5,0.004261,26359,61,4027
63,0.75,0.006018,39105,61,4027
64,0.125,0.002749,8759,62,4155
64,0.25,0.003281,14636,62,4155
64,0.5,0.004499,29006,62,4155
64,0.75,0.005768,41447,62,4155
65,0.125,0.002653,9616,63,4285
65,0.25,0.003147,16481,63,4285
65,0.5,0.004271,29744,63,4285
65,0.75,0.006596,41003,63,4285
66,0.125,0.002771,9939,64,4417
66,0.25,0.003944,17938,64,4417
66,0.5,0.005103,29739,64,4417
66,0.75,0.008158,44170,64,4417
67,0.125,0.002883,10894,65,4551
67,0.25,0.00383,17268,65,4551
67,0.5,0.004719,30662,65,4551
67,0.75,0.007198,43714,65,4551
68,0.125,0.002564,10395,66,4687
68,0.25,0.004462,17230,66,4687
68,0.5,0.005072,31369,66,4687
68,0.75,0.007875,44853,66,4687
69,0.125,0.002763,10723,67,4825
69,0.25,0.003845,17180,67,4825
69,0.5,0.008617,32536,67,4825
69,0.75,0.014063,47839,67,4825
70,0.125,0.004996,11991,68,4965
70,0.25,0.006801,19038,68,4965
70,0.5,0.005803,34388,68,4965
70,0.75,0.00688,49823,68,4965
71,0.125,0.003057,11529,69,5107
71,0.25,0.003598,19888,69,5107
71,0.5,0.005647,33729,69,5107
71,0.75,0.008188,50809,69,5107
72,0.125,0.003097,11150,70,5251
72,0.25,0.003688,19614,70,5251
72,0.5,0.005664,34540,70,5251
72,0.75,0.007024,52418,70,5251
73,0.125,0.003013,12297,71,5397
73,0.25,0.003933,20543,71,5397
73,0.5,0.006055,37289,71,5397
73,0.75,0.007913,53748,71,5397
74,0.125,0.003252,11995,72,5545
74,0.25,0.004005,20676,72,5545
74,0.5,0.0071,35446,72,5545
74,0.75,0.007112,54224,72,5545
75,0.125,0.002879,13088,73,5695
75,0.25,0.003981,21720,73,5695
75,0.5,0.006208,36838,73,5695
75,0.75,0.00862,54457,73,5695
76,0.125,0.004386,13374,74,5847
76,0.25,0.004414,23345,74,5847
76,0.5,0.005515,38975,74,5847
76,0.75,0.008056,56687,74,5847
77,0.125,0.003259,11987,75,6001
77,0.25,0.004578,21502,75,6001
77,0.5,0.007282,40346,75,6001
77,0.75,0.009541,58541,75,6001
78,0.125,0.003586,13896,76,6157
78,0.25,0.004126,23920,76,6157
78,0.5,0.0064,41110,76,6157
78,0.75,0.009533,59985,76,6157
79,0.125,0.003676,13245,77,6315
79,0.25,0.005,25093,77,6315
79,0.5,0.006301,42652,77,6315
79,0.75,0.009088,63203,77,6315
80,0.125,0.003771,13242,78,6475
80,0.25,0.00449,23816,78,6475
80,0.5,0.007693,44146,78,6475
80,0.75,0.010422,64307,78,6475
81,0.125,0.00385,13478,79,6637
81,0.25,0.004998,27128,79,6637
81,0.5,0.007036,45009,79,6637
81,0.75,0.00961,64004,79,6637
82,0.125,0.004057,14180,80,6801
82,0.25,0.004508,25507,80,6801
82,0.5,0.007161,46206,80,6801
82,0.75,0.009627,66738,80,6801
83,0.125,0.003821,13456,81,6967
83,0.25,0.005192,25002,81,6967
83,0.5,0.007366,47340,81,6967
83,0.75,0.010383,67737,81,6967
84,0.125,0.00369,14681,82,7135
84,0.25,0.00514,25686,82,7135
84,0.5,0.008602,47978,82,7135
84,0.75,0.010767,68500,82,7135
85,0.125,0.004157,14445,83,7305
85,0.25,0.005767,27462,83,7305
85,0.5,0.009915,48656,83,7305
85,0.75,0.010316,69713,83,7305
86,0.125,0.00373,14938,84,7477
86,0.25,0.004923,27239,84,7477
86,0.5,0.007215,48618,84,7477
86,0.75,0.010317,70738,84,7477
87,0.125,0.003639,14843,85,7651
87,0.25,0.005347,27905,85,7651
87,0.5,0.007454,50963,85,7651
87,0.75,0.010949,74934,85,7651
88,0.125,0.004348,15427,86,7827
88,0.25,0.005865,28316,86,7827
88,0.5,0.008468,52296,86,7827
88,0.75,0.010382,74325,86,7827
89,0.125,0.004023,16778,87,8005
89,0.25,0.005466,29252,87,8005
89,0.5,0.008715,53059,87,8005
89,0.75,0.011454,77815,87,8005
90,0.125,0.004472,16731,88,8185
90,0.25,0.006422,30248,88,8185
90,0.5,0.009658,54265,88,8185
90,0.75,0.013235,78362,88,8185
91,0.125,0.004941,16675,89,8367
91,0.25,0.006885,31407,89,8367
91,0.5,0.008134,57588,89,8367
91,0.75,0.011331,80376,89,8367
92,0.125,0.004813,16556,90,8551
92,0.25,0.006214,30262,90,8551
92,0.5,0.010571,56767,90,8551
92,0.75,0.013892,83015,90,8551
93,0.125,0.004666,17424,91,8737
93,0.25,0.005921,31724,91,8737
93,0.5,0.009479,58943,91,8737
93,0.75,0.011532,84486,91,8737
94,0.125,0.005059,17054,92,8925
94,0.25,0.006228,32503,92,8925
94,0.5,0.009194,60750,92,8925
94,0.75,0.011845,85320,92,8925
95,0.125,0.00453,17696,93,9115
95,0.25,0.006034,33505,93,9115
95,0.5,0.010112,58971,93,9115
95,0.75,0.015067,87082,93,9115
96,0.125,0.004956,18921,94,9307
96,0.25,0.00756,33922,94,9307
96,0.5,0.010425,62501,94,9307
96,0.75,0.014924,90393,94,9307
97,0.125,0.005962,19289,95,9501
97,0.25,0.00689,35390,95,9501
97,0.5,0.010612,62359,95,9501
97,0.75,0.015672,90374,95,9501
98,0.125,0.006415,19293,96,9697
98,0.25,0.007954,34124,96,9697
98,0.5,0.0096,63119,96,9697
98,0.75,0.013668,93798,96,9697
99,0.125,0.004942,17660,97,9895
99,0.25,0.007589,36457,97,9895
99,0.5,0.011191,65707,97,9895
99,0.75,0.015607,97076,97,9895
100,0.125,0.005575,19329,98,10095
100,0.25,0.006968,36320,98,10095
100,0.5,0.009869,67554,98,10095
100,0.75,0.013215,98218,98,10095
101,0.125,0.005597,19711,99,10297
101,0.25,0.00699,37136,99,10297
101,0.5,0.010452,67420,99,10297
101,0.75,0.016312,98764,99,10297
102,0.125,0.006611,21726,100,10501
102,0.25,0.007996,38925,100,10501
102,0.5,0.012775,67543,100,10501
102,0.75,0.013773,100740,100,10501
103,0.125,0.005371,20451,101,10707
103,0.25,0.00773,37824,101,10707
103,0.5,0.011925,72802,101,10707
103,0.75,0.017446,103520,101,10707
104,0.125,0.006793,22002,102,10915
104,0.25,0.007964,38739,102,10915
104,0.5,0.010728,71792,102,10915
104,0.75,0.016269,104769,102,10915
105,0.125,0.007061,21878,103,11125
105,0.25,0.008941,41100,103,11125
105,0.5,0.011253,73710,103,11125
105,0.75,0.014566,107552,103,11125
106,0.125,0.00568,21443,104,11337
106,0.25,0.008646,40530,104,11337
106,0.5,0.011008,75707,104,11337
106,0.75,0.017133,104870,104,11337
107,0.125,0.005663,22982,105,11551
107,0.25,0.009216,42476,105,11551
107,0.5,0.029373,76058,105,11551
107,0.75,0.014457,110585,105,11551
108,0.125,0.00586,22529,106,11767
108,0.25,0.008199,41370,106,11767
108,0.5,0.012031,78966,106,11767
108,0.75,0.018475,113757,106,11767
109,0.125,0.006195,23295,107,11985
109,0.25,0.008319,42314,107,11985
109,0.5,0.013631,78616,107,11985
109,0.75,0.019248,115738,107,11985
110,0.125,0.007296,24375,108,12205
110,0.25,0.008243,44049,108,12205
110,0.5,0.013152,81547,108,12205
110,0.75,0.01575,116901,108,12205
111,0.125,0.005993,23082,109,12427
111,0.25,0.008419,43619,109,12427
111,0.5,0.013853,82698,109,12427
111,0.75,0.015785,120164,109,12427
112,0.125,0.006135,23911,110,12651
112,0.25,0.008759,46227,110,12651
112,0.5,0.01411,82663,110,12651
112,0.75,0.019353,122467,110,12651
113,0.125,0.007805,25676,111,12877
113,0.25,0.010347,45124,111,12877
113,0.5,0.013527,84437,111,12877
113,0.75,0.082022,124032,111,12877
114,0.125,0.007511,26371,112,13105
114,0.25,0.008903,46063,112,13105
114,0.5,0.013648,87347,112,13105
114,0.75,0.020209,124617,112,13105
115,0.125,0.006777,26003,113,13335
115,0.25,0.01032,45088,113,13335
115,0.5,0.013759,87756,113,13335
115,0.75,0.018979,125903,113,13335
116,0.125,0.006914,26911,114,13567
116,0.25,0.00864,47298,114,13567
116,0.5,0.015653,91653,114,13567
116,0.75,0.021977,132346,114,13567
117,0.125,0.007635,27272,115,13801
117,0.25,0.009927,48134,115,13801
117,0.5,0.015526,90858,115,13801
117,0.75,0.021058,132179,115,13801
118,0.125,0.00707,27093,116,14037
118,0.25,0.010398,50208,116,14037
118,0.5,0.015775,93783,116,14037
118,0.75,0.018518,134785,116,14037
119,0.125,0.006814,28718,117,14275
119,0.25,0.009353,50292,117,14275
119,0.5,0.015272,94351,117,14275
119,0.75,0.022283,136769,117,14275
120,0.125,0.007616,28519,118,14515
120,0.25,0.010842,50883,118,14515
120,0.5,0.017583,96373,118,14515
120,0.75,0.021486,138815,118,14515
121,0.125,0.006671,28386,119,14757
121,0.25,0.009635,51271,119,14757
121,0.5,0.016306,98072,119,14757
121,0.75,0.020878,141904,119,14757
122,0.125,0.007423,28194,120,15001
122,0.25,0.009492,51750,120,15001
122,0.5,0.014756,100385,120,15001
122,0.75,0.021775,147664,120,15001
123,0.125,0.007553,29130,121,15247
123,0.25,0.011678,52788,121,15247
123,0.5,0.018385,99684,121,15247
123,0.75,0.023203,145174,121,15247
124,0.125,0.008254,29815,122,15495
124,0.25,0.011714,54645,122,15495
124,0.5,0.018521,104275,122,15495
124,0.75,0.021182,142809,122,15495
125,0.125,0.007258,29163,123,15745
125,0.25,0.012532,56636,123,15745
125,0.5,0.015131,100992,123,15745
125,0.75,0.020519,148151,123,15745
126,0.125,0.007196,29952,124,15997
126,0.25,0.012487,55484,124,15997
126,0.5,0.017448,102131,124,15997
126,0.75,0.023737,150086,124,15997
127,0.125,0.009264,31097,125,16251
127,0.25,0.011619,58187,125,16251
127,0.5,0.019277,107096,125,16251
127,0.75,0.026194,155172,125,16251
128,0.125,0.007899,32668,126,16507
128,0.25,0.010671,58195,126,16507
128,0.5,0.018278,106332,126,16507
128,0.75,0.023918,158888,126,16507
129,0.125,0.008475,30856,127,16765
129,0.25,0.011108,58816,127,16765
129,0.5,0.017152,109019,127,16765
129,0.75,0.022216,160525,127,16765
130,0.125,0.007618,30621,128,17025
130,0.25,0.010688,58803,128,17025
130,0.5,0.019297,108630,128,17025
130,0.75,0.02626,161308,128,17025
131,0.125,0.008876,32609,129,17287
131,0.25,0.010704,60283,129,17287
131,0.5,0.018515,114154,129,17287
131,0.75,0.021476,162673,129,17287
132,0.125,0.009932,35018,130,17551
132,0.25,0.012071,60141,130,17551
132,0.5,0.021047,115457,130,17551
132,0.75,0.024412,167621,130,17551
133,0.125,0.009234,33439,131,17817
133,0.25,0.013753,63094,131,17817
133,0.5,0.017104,116853,131,17817
133,0.75,0.028713,166032,131,17817
134,0.125,0.008584,32187,132,18085
134,0.25,0.013624,62057,132,18085
134,0.5,0.029268,117389,132,18085
134,0.75,0.029084,172174,132,18085
135,0.125,0.0099,34096,133,18355
135,0.25,0.014577,61985,133,18355
135,0.5,0.018287,116574,133,18355
135,0.75,0.023797,175982,133,18355
136,0.125,0.0089,34179,134,18627
136,0.25,0.012634,62913,134,18627
136,0.5,0.021982,118873,134,18627
136,0.75,0.025788,175165,134,18627
137,0.125,0.009536,34699,135,18901
137,0.25,0.012273,62920,135,18901
137,0.5,0.020986,123375,135,18901
137,0.75,0.030219,181479,135,18901
138,0.125,0.012446,37205,136,19177
138,0.25,0.012689,63858,136,19177
138,0.5,0.020442,123439,136,19177
138,0.75,0.024275,181950,136,19177
139,0.125,0.009071,37197,137,19455
139,0.25,0.013637,69734,137,19455
139,0.5,0.017452,125316,137,19455
139,0.75,0.027794,186346,137,19455
140,0.125,0.010094,37742,138,19735
140,0.25,0.01274,67123,138,19735
140,0.5,0.019132,129052,138,19735
140,0.75,0.031467,185087,138,19735
141,0.125,0.009834,36434,139,20017
141,0.25,0.013072,68538,139,20017
141,0.5,0.020204,128988,139,20017
141,0.75,0.031292,184459,139,20017
142,0.125,0.010295,36006,140,20301
142,0.25,0.015787,69354,140,20301
142,0.5,0.025383,127940,140,20301
142,0.75,0.035114,194218,140,20301
143,0.125,0.009246,36974,141,20587
143,0.25,0.01521,69471,141,20587
143,0.5,0.022072,132039,141,20587
143,0.75,0.03468,196062,141,20587
144,0.125,0.011846,36912,142,20875
144,0.25,0.018007,71125,142,20875
144,0.5,0.022055,137549,142,20875
144,0.75,0.028817,198263,142,20875
145,0.125,0.011518,39226,143,21165
145,0.25,0.014814,71832,143,21165
145,0.5,0.02683,133520,143,21165
145,0.75,0.039732,201949,143,21165
146,0.125,0.012653,39267,144,21457
146,0.25,0.018619,72511,144,21457
146,0.5,0.026264,135436,144,21457
146,0.75,0.04758,202774,144,21457
147,0.125,0.021886,39701,145,21751
147,0.25,0.042403,72959,145,21751
147,0.5,0.062067,142507,145,21751
147,0.75,0.06911,201720,145,21751
148,0.125,0.094434,41074,146,22047
148,0.25,0.045324,71261,146,22047
148,0.5,0.045002,144368,146,22047
148,0.75,0.090375,211362,146,22047
149,0.125,0.029913,40403,147,22345
149,0.25,0.048352,77203,147,22345
149,0.5,0.07889,141099,147,22345
149,0.75,0.060463,214430,147,22345
150,0.125,0.022172,41139,148,22645
150,0.25,0.0324,76841,148,22645
150,0.5,0.055131,147864,148,22645
150,0.75,0.088488,215265,148,22645
151,0.125,0.031074,39972,149,22947
151,0.25,0.052285,78894,149,22947
151,0.5,0.041468,144506,149,22947
151,0.75,0.054831,214669,149,22947
152,0.125,0.014182,42440,150,23251
152,0.25,0.024624,80292,150,23251
152,0.5,0.060365,150865,150,23251
152,0.75,0.048381,222602,150,23251
153,0.125,0.017814,42364,151,23557
153,0.25,0.026328,80004,151,23557
153,0.5,0.041497,148950,151,23557
153,0.75,0.05526,229275,151,23557
154,0.125,0.018438,42458,152,23865
154,0.25,0.025806,78714,152,23865
154,0.5,0.046579,158353,152,23865
154,0.75,0.097351,233142,152,23865
155,0.125,0.036279,43612,153,24175
155,0.25,0.043302,80918,153,24175
155,0.5,0.051796,154450,153,24175
155,0.75,0.087574,232000,153,24175
156,0.125,0.060927,43041,154,24487
156,0.25,0.082125,81514,154,24487
156,0.5,0.073404,157701,154,24487
156,0.75,0.072671,237241,154,24487
157,0.125,0.017838,43749,155,24801
157,0.25,0.026075,81373,155,24801
157,0.5,0.03715,156192,155,24801
157,0.75,0.036233,238122,155,24801
158,0.125,0.014975,46306,156,25117
158,0.25,0.022871,84282,156,25117
158,0.5,0.033601,159534,156,25117
158,0.75,0.042105,235985,156,25117
159,0.125,0.139859,46702,157,25435
159,0.25,0.020251,85129,157,25435
159,0.5,0.031143,163462,157,25435
159,0.75,0.051924,244596,157,25435
160,0.125,0.015097,47199,158,25755
160,0.25,0.018738,87497,158,25755
160,0.5,0.034188,163087,158,25755
160,0.75,0.053933,249252,158,25755
161,0.125,0.015757,46410,159,26077
161,0.25,0.028892,89281,159,26077
161,0.5,0.035654,166856,159,26077
161,0.75,0.042337,248193,159,26077
162,0.125,0.016029,45150,160,26401
162,0.25,0.021932,89233,160,26401
162,0.5,0.032614,171045,160,26401
162,0.75,0.046417,242311,160,26401
163,0.125,0.012435,47337,161,26727
163,0.25,0.019255,91308,161,26727
163,0.5,0.03907,174859,161,26727
163,0.75,0.043996,253783,161,26727
164,0.125,0.013479,48261,162,27055
164,0.25,0.018641,92000,162,27055
164,0.5,0.036835,174908,162,27055
164,0.75,0.048713,259832,162,27055
165,0.125,0.019258,47529,163,27385
165,0.25,0.028105,89859,163,27385
165,0.5,0.034711,177159,163,27385
165,0.75,0.053842,262456,163,27385
166,0.125,0.018639,50121,164,27717
166,0.25,0.026544,94561,164,27717
166,0.5,0.043065,178127,164,27717
166,0.75,0.04335,260376,164,27717
167,0.125,0.014253,50360,165,28051
167,0.25,0.058138,95061,165,28051
167,0.5,0.046547,178601,165,28051
167,0.75,0.050876,263916,165,28051
168,0.125,0.018684,52605,166,28387
168,0.25,0.037984,98272,166,28387
168,0.5,0.050029,182325,166,28387
168,0.75,0.059696,272270,166,28387
169,0.125,0.015796,50728,167,28725
169,0.25,0.02331,100570,167,28725
169,0.5,0.039285,185232,167,28725
169,0.75,0.051986,272746,167,28725
170,0.125,0.017879,54065,168,29065
170,0.25,0.028046,96560,168,29065
170,0.5,0.043797,189287,168,29065
170,0.75,0.04972,274759,168,29065
171,0.125,0.015305,53989,169,29407
171,0.25,0.027124,98201,169,29407
171,0.5,0.034422,188099,169,29407
171,0.75,0.055389,282597,169,29407
172,0.125,0.015997,51270,170,29751
172,0.25,0.02648,98331,170,29751
172,0.5,0.04213,197073,170,29751
172,0.75,0.049216,282225,170,29751
173,0.125,0.014353,53795,171,30097
173,0.25,0.025968,100598,171,30097
173,0.5,0.035804,194275,171,30097
173,0.75,0.039836,284017,171,30097
174,0.125,0.016532,55288,172,30445
174,0.25,0.022834,103139,172,30445
174,0.5,0.039281,195708,172,30445
174,0.75,0.144153,286713,172,30445
175,0.125,0.016825,55008,173,30795
175,0.25,0.02364,102008,173,30795
175,0.5,0.033136,196472,173,30795
175,0.75,0.047941,294085,173,30795
176,0.125,0.017117,57321,174,31147
176,0.25,0.024315,106831,174,31147
176,0.5,0.037063,200424,174,31147
176,0.75,0.043942,300687,174,31147
177,0.125,0.015831,56889,175,31501
177,0.25,0.021393,105769,175,31501
177,0.5,0.039736,205944,175,31501
177,0.75,0.048972,295826,175,31501
178,0.125,0.014032,58227,176,31857
178,0.25,0.025774,109972,176,31857
178,0.5,0.041643,198582,176,31857
178,0.75,0.042693,305133,176,31857
179,0.125,0.015206,56904,177,32215
179,0.25,0.021476,108222,177,32215
179,0.5,0.037457,206452,177,32215
179,0.75,0.048027,299894,177,32215
180,0.125,0.01675,58266,178,32575
180,0.25,0.024944,115199,178,32575
180,0.5,0.037333,209747,178,32575
180,0.75,0.053077,309721,178,32575
181,0.125,0.017655,59783,179,32937
181,0.25,0.022245,110241,179,32937
181,0.5,0.03772,212224,179,32937
181,0.75,0.058629,313673,179,32937
182,0.125,0.02255,60085,180,33301
182,0.25,0.026228,113000,180,33301
182,0.5,0.048607,218324,180,33301
182,0.75,0.072451,310083,180,33301
183,0.125,0.020648,59314,181,33667
183,0.25,0.034714,114420,181,33667
183,0.5,0.041159,219768,181,33667
183,0.75,0.055893,317151,181,33667
184,0.125,0.019569,60116,182,34035
184,0.25,0.022178,113042,182,34035
184,0.5,0.044998,220583,182,34035
184,0.75,0.047145,321751,182,34035
185,0.125,0.016729,63118,183,34405
185,0.25,0.027482,110532,183,34405
185,0.5,0.040864,220420,183,34405
185,0.75,0.056922,324776,183,34405
186,0.125,0.02007,64006,184,34777
186,0.25,0.028599,113709,184,34777
186,0.5,0.038232,227202,184,34777
186,0.75,0.050658,330147,184,34777
187,0.125,0.018833,61415,185,35151
187,0.25,0.026538,116603,185,35151
